i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction
0,9,6,410,50,764,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,1000,20,False,False,4.5447934845840607e-07,0.0,0.827981188443462,0.827981188443462,2.439749115748555,2.439749115748555,0.8279268558415902,0.8279268558415902,0.8279811884434622,2.220446049250313e-16,0.827981188443462,0.827981188443462,2.4405070375018636,2.4405070375018636,2.439749115748555,0.0,2.439749115748555,2.439749115748555,480.0,33179.50725364685,done,,results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config000_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
1,9,6,410,50,764,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,1000,20,True,False,2.2723967422920304e-07,0.0,0.7605258011965834,0.7591187187331752,4.284415786470178,4.3135399967758055,0.7605258011965834,0.7590211160781773,0.7591187187331752,0.0,0.7591187187331752,0.7591187187331752,4.284415786470178,4.314940044533682,4.313539996775805,8.881784197001252e-16,4.3135399967758055,4.3135399967758055,480.0,32327.195683002472,done,,results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config001_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionTrue.pkl,4,5,0.25
2,9,6,415,50,700,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,1000,20,False,False,2.48015873015873e-07,0.0,0.8056383355829604,0.8056383355829604,0.3764904275486538,0.3764904275486538,0.8056050110443868,0.8056050110443868,0.8056383355829604,0.0,0.8056383355829604,0.8056383355829604,0.3765523770357012,0.3765523770357012,0.3764904275486538,0.0,0.3764904275486538,0.3764904275486538,480.0,25856.563286304474,done,,results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config002_C9_M6_mouse415_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
3,9,6,415,50,700,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,1000,20,True,False,2.48015873015873e-07,0.0,0.7800339388421775,0.7797847284325419,0.32796597525665233,0.32805080293905237,0.7800339388421775,0.7797521607446674,0.7797847284325419,0.0,0.7797847284325419,0.7797847284325419,0.32796597525665233,0.3280976090295574,0.32805080293905237,0.0,0.32805080293905237,0.32805080293905237,480.0,26298.381301641464,done,,results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config003_C9_M6_mouse415_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionTrue.pkl,4,5,0.25
