target,source,mean,std,rms,max_abs
0,0,-0.44435020672908393,25.377077144536564,25.380967111321436,83.4478759765625
0,1,0.10860564497509038,31.7621917829567,31.762377462076774,175.49862670898438
0,2,0.021030948436474187,12.816349717738053,12.816366973060518,50.1962890625
0,3,0.023141054742565236,13.016940571787627,13.016961141444089,74.56342315673828
0,4,0.05342544117968153,11.623232589521391,11.623355372175341,48.77867126464844
0,5,0.4211538066607761,25.856819038240598,25.860248670598402,144.27484130859375
1,0,-0.16807861995181458,12.425826315644192,12.426963025978658,40.411033630371094
1,1,0.04867770809269743,9.597067310349532,9.597190759729887,35.73072814941406
1,2,-0.06302539217845099,8.71941514057075,8.719642916637909,49.386905670166016
1,3,-0.1502083141908651,9.67238441022043,9.673550677839406,57.48326110839844
1,4,0.023058936935397126,7.077570475023219,7.077608038277689,31.16163444519043
1,5,0.3166619324386847,16.75762235124102,16.76061399967998,82.78346252441406
2,0,0.1811501223261592,10.064209159204932,10.065839327499878,42.80373001098633
2,1,-0.05577279503860149,7.866438338180865,7.866636049358592,43.87913131713867
2,2,-0.013479980232498025,7.880992449555777,7.881003977909301,38.91345977783203
2,3,-0.06499455508854071,3.3424209934601947,3.343052854759343,14.287527084350586
2,4,-0.015064456332825833,3.5547285875187806,3.554760507934096,15.714041709899902
2,5,-0.09254509675321586,6.858793956870324,6.859418279834954,45.66380310058594
3,0,0.058405478492467966,5.082388684275779,5.0827242634213805,20.797792434692383
3,1,-0.020051237388560458,5.2216523891853255,5.2216908875962424,24.485912322998047
3,2,-0.010276313922714601,2.7457209121105746,2.745740142444139,9.588861465454102
3,3,0.0649512527122163,4.261018328259633,4.261513329674495,26.63556480407715
3,4,9.90345026444737e-05,2.414183565369484,2.414183567400778,13.92216682434082
3,5,-0.12575875723177626,6.698178077716988,6.69935853838477,34.76232147216797
4,0,0.04972960657363883,9.510539461730788,9.510669476272874,34.79545593261719
4,1,-0.04176628860973635,12.456947350432173,12.457017368307046,47.93115234375
4,2,0.05207028543552828,5.754761275839762,5.7549968424431155,24.492759704589844
4,3,0.10775314808579564,7.9766464841613525,7.977374246843761,50.35177230834961
4,4,-0.02641571111960243,5.479126555311695,5.47919023204303,25.203691482543945
4,5,-0.1864947867490822,11.491426846650995,11.492940062378114,60.71073913574219
5,0,-0.35240613706549917,18.901994114951933,18.90527893491971,117.4061508178711
5,1,-0.06964130892995762,16.021158673277835,16.021310032149525,59.29865264892578
5,2,0.29117479334832047,13.520911702391112,13.524046584663127,67.26141357421875
5,3,0.14470351973791462,10.71321888557669,10.714196096716805,64.43315124511719
5,4,0.15563733865304283,6.704360601327414,6.7061668674298796,42.52428436279297
5,5,-0.18313493991620503,12.500286613760789,12.501628047273893,49.178741455078125
