i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction
0,9,6,410,15,2538,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,6.840469310918483e-08,0.0,0.9458816984609202,0.9458816984609202,0.4606178545661541,0.4606178545661541,0.9456410108271435,0.9456410108271435,0.94588169846092,2.220446049250313e-16,0.9458816984609202,0.9458816984609202,0.46284115254094954,0.46284115254094954,0.46061785456615406,5.551115123125783e-17,0.4606178545661541,0.4606178545661541,480.0,82227.66708087921,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config000_C9_M6_mouse410_n_pixels15_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
1,9,6,410,20,1903,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,9.123022128802475e-08,0.0,0.9169915573878644,0.9169915573878644,0.953146064693595,0.953146064693595,0.9164788991160229,0.9164788991160229,0.9169915573878644,0.0,0.9169915573878644,0.9169915573878644,0.9594745763442692,0.9594745763442692,0.953146064693595,0.0,0.953146064693595,0.953146064693595,480.0,42354.79480648041,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config001_C9_M6_mouse410_n_pixels20_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
2,9,6,410,25,1524,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,2.2783610382035578e-07,0.0,0.8967334776894984,0.8967334776894984,1.2281589129162482,1.2281589129162482,0.8959859230246651,0.8959859230246651,0.8967334776894983,1.1102230246251565e-16,0.8967334776894984,0.8967334776894984,1.237339041913453,1.237339041913453,1.2281589129162485,2.220446049250313e-16,1.2281589129162482,1.2281589129162482,480.0,24455.266628026962,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config002_C9_M6_mouse410_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
3,9,6,415,15,2331,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,7.44792411459078e-08,0.0,0.9180580012750219,0.9180580012750219,0.11458887201471406,0.11458887201471406,0.917747871423889,0.917747871423889,0.9180580012750218,1.1102230246251565e-16,0.9180580012750219,0.9180580012750219,0.11511822333774009,0.11511822333774009,0.11458887201471406,0.0,0.11458887201471406,0.11458887201471406,480.0,72847.16598320007,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config003_C9_M6_mouse415_n_pixels15_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
4,9,6,415,20,1749,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,9.926307096118417e-08,0.0,0.8992190883993031,0.8992190883993031,0.15150575109752934,0.15150575109752934,0.8988482408136022,0.8988482408136022,0.8992190883993031,0.0,0.8992190883993031,0.8992190883993031,0.1521649758590589,0.1521649758590589,0.15150575109752934,0.0,0.15150575109752934,0.15150575109752934,480.0,38466.10396170616,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config004_C9_M6_mouse415_n_pixels20_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
5,9,6,415,25,1399,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,100,20,False,False,1.2409657692002223e-07,0.0,0.8800225647795209,0.8800225647795209,0.19709429729014127,0.19709429729014127,0.8796158811392318,0.8796158811392318,0.8800225647795209,0.0,0.8800225647795209,0.8800225647795209,0.19785354289337362,0.19785354289337362,0.19709429729014127,0.0,0.19709429729014127,0.19709429729014127,480.0,21283.883960723877,done,,results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config005_C9_M6_mouse415_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,4,5,0.25
