cohort,month,mouse,rank,region_idx,region_label,n_pixels_region,time_sec_min_abs_F0,min_abs_F0_from_dff_diag,max_abs_dff_from_dff_diag,raw_at_min_abs_F0_from_dff_diag,region_trace_raw_min,region_trace_raw_max,region_trace_raw_mean,region_trace_raw_median,region_trace_raw_p01,region_trace_raw_p05,region_trace_raw_p95,region_trace_raw_p99,region_trace_raw_fraction_negative,region_trace_raw_fraction_zero,region_pixels_raw_min,region_pixels_raw_max,region_pixels_raw_mean,region_pixels_raw_median,region_pixels_raw_p01,region_pixels_raw_p05,region_pixels_raw_p95,region_pixels_raw_p99,region_pixels_raw_fraction_negative,region_pixels_raw_fraction_zero
3,6,316,1,255,255.0,1,115.75,0.0002302496868651,9201.767802519127,0.6645674705505371,-1.3477919101715088,4.482114791870117,1.0001138724785228,0.9755015075206755,-0.5353683203458786,-0.179930455237627,2.2803679704666138,2.8772229385375976,0.0814236111111111,0.0,-1.3477919101715088,4.482114791870117,1.0001138724785228,0.9755015075206755,-0.5353683203458786,-0.179930455237627,2.2803679704666138,2.8772229385375976,0.0814236111111111,0.0
3,6,316,2,281,281.0,107,390.1666666666667,0.1921897245501385,17.494639265082405,0.042752181252717,-0.5335912391473757,5.002401474480317,0.9999880859747006,0.878711584224322,0.0069345272035298,0.2081465591622133,2.2027469795754304,3.485639078605953,0.0097222222222222,0.0,-1.8294596672058103,7.810059547424316,0.9999880859747008,0.8907563090324402,-0.4523810419440269,-0.1216890599578618,2.5048899769783013,3.866315913200375,0.078554971443406,0.0
3,6,316,3,198,198.0,122,366.5,0.1966743425057712,14.985495210837458,-0.066059489744013,-0.3768993494879515,3.8745083320336255,1.000052630270447,0.9536836524112302,0.0061371317613854,0.167089164784783,2.1491029484594453,3.0283441892510554,0.0098958333333333,0.0,-1.6140761375427246,7.421547412872314,1.0000526302704469,0.9356539249420166,-0.4893055722117423,-0.1483378529548644,2.3826970458030643,3.350825564861293,0.0834699453551912,0.0
3,6,316,4,190,190.0,90,337.0,0.2059202855220064,13.710171554293352,1.4021877033842935,-0.426408777013421,3.817502024438646,1.000051154142026,0.9524379873337844,0.0400411449723049,0.20130201701838,2.102448762452438,2.9661519063843613,0.0065972222222222,0.0,-1.6234766244888306,6.587903022766113,1.000051154142026,0.9373509287834167,-0.4866202294826507,-0.1471637584269046,2.3782796263694763,3.2896785974502567,0.0838715277777777,0.0
3,6,316,5,187,187.0,81,337.0,0.2175639094209965,14.05420520641442,1.4904943370708712,-0.3556024160144138,3.805068317754769,1.00009207856295,0.9558945761039208,0.0535541192004974,0.19998361042465,2.130239853888382,2.9648104494883687,0.0053819444444444,0.0,-2.8114242553710938,5.9053449630737305,1.00009207856295,0.934260904788971,-0.4631357923150062,-0.1328339226543903,2.374935269355774,3.320721318721769,0.0801611796982167,0.0
3,6,322,1,132,132.0,43,304.1666666666667,0.1051821614626448,22.744944509258595,1.4948604314826257,-0.4025485689405265,3.5240522234938867,1.000070969401894,1.0329662293715534,-0.0831175622116601,0.0823289601541081,1.8960885905942253,2.5437870847624384,0.025,0.0,-1.828433990478516,5.337913990020752,1.000070969401894,0.9973481595516204,-0.4117963999509811,-0.115337735787034,2.140840327739716,2.762153155803677,0.0782259366925064,0.0
3,6,322,2,123,123.0,78,453.0833333333333,0.1059700182806222,19.534412834284044,0.2136016638758472,-0.3253916222243928,3.6201733289620814,1.000099608843851,1.0290375291728056,-0.0422240183950485,0.1101446064732347,1.8501366094136849,2.561414384031903,0.0164930555555555,0.0,-2.810885190963745,8.420448303222656,1.0000996088438503,0.9902733564376832,-0.433461027443409,-0.127677633613348,2.1675851225852965,2.79173500299454,0.0804932336182336,0.0
3,6,322,3,125,125.0,106,287.1666666666667,0.1065891952592141,29.1307283165837,1.707083840977471,-0.3113724490197129,4.0701696490341766,1.0000453321072342,1.010626994372117,-0.069605762131544,0.0895570183161255,1.9315567126251616,2.934095750799716,0.0232638888888888,0.0,-1.233717441558838,7.111893177032471,1.0000453321072342,0.979000449180603,-0.4110324373841286,-0.1174371618777513,2.183756983280181,3.052609703540804,0.0790028825995807,0.0
3,6,322,4,155,155.0,113,320.0833333333333,0.1070562655798239,34.036328048774074,0.6926906843694438,-0.3473179763413768,3.873929715789525,1.0000497915949655,1.0266628484535278,-0.0378435259463834,0.097831680703665,1.9169938009660856,2.7263823019403253,0.0189236111111111,0.0,-1.2777891159057615,7.009936332702637,1.0000497915949658,0.9824360311031342,-0.4167043191194534,-0.1211263824254274,2.1761957287788385,2.943664963245392,0.0791113569321533,0.0
3,6,322,5,136,136.0,85,453.0833333333333,0.111151420462,18.28445679013368,0.3437207011177259,-0.342470432357753,3.58356072622187,1.0000849658213604,1.0207066980354926,-0.0293170135974445,0.1186388994739664,1.8683469780928947,2.733754346609114,0.0151041666666666,0.0,-2.291534900665283,24.76456069946289,1.0000849658213606,0.9801433682441713,-0.418010935485363,-0.1194959282875061,2.165900695323944,2.8575644135475167,0.07875,0.0
9,6,415,1,56,56.0,117,24.5,8.288545794705423e-07,231314.2464265735,0.1894119011285977,-2.936392030145368,19.87080023838924,0.9994608600932984,0.5396438490631235,-1.4194346347527624,-0.0054873860937188,3.566799797257808,6.477858441140912,0.0520833333333333,0.0,-4.506036758422852,24.242889404296875,0.9994608600932982,0.5339572131633759,-1.32760729432106,-0.0114266513846814,3.667198264598844,6.984858870506285,0.0542482787274453,0.0
9,6,415,2,66,66.0,100,29.83333333333333,1.864153891801834e-06,374528.95229674014,0.1855191871523857,-2.6116608357429505,17.260837497711183,0.9994797422766802,0.6352984847128391,-1.0565259692430495,-0.0151258890428403,3.1696258575916296,6.367918728995322,0.0545138888888888,0.0,-3.5600314140319824,30.61478805541992,0.99947974227668,0.6167029738426208,-1.0730665481090549,-0.0224133321084082,3.2548512816429134,6.507363390922548,0.0568576388888888,0.0
9,6,415,3,71,71.0,95,376.9166666666667,6.146540809392096e-05,12220.863015914689,0.7436544644205194,-1.948958470946864,33.09975521689967,0.9995677766794387,0.6633681516898307,-0.7663740016723934,-0.0536609549656829,2.608437633137955,8.049701435189492,0.0619791666666666,0.0,-2.8562049865722656,67.65193176269531,0.999567776679439,0.6534351110458374,-0.7919464337825776,-0.0549235565587877,2.721935391426086,7.923872699737556,0.0634411549707602,0.0
