i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction
0,9,6,410,50,764,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.001,1000,20,False,False,4.5447934845840607e-07,0.0,0.6369304426289191,0.5575068674409975,5.919821768701365,7.186401768412343,0.6369304426289191,0.5569583268708662,0.5575068674409975,0.0,0.5575068674409975,0.5575068674409975,5.919821768701365,7.194398341626522,7.186401768412343,0.0,7.186401768412343,7.186401768412343,480.0,34621.36454939842,done,,results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config000_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
1,9,6,410,50,764,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,1.2,1.0,0.1,0.001,1000,20,False,False,4.5447934845840607e-07,0.0,0.6256311008607635,0.5936725352725588,5.895032187463416,6.657346564963544,0.6256311008607635,0.5932541751661988,0.5936725352725587,1.1102230246251565e-16,0.5936725352725588,0.5936725352725588,5.895032187463416,6.663274673919022,6.657346564963544,0.0,6.657346564963544,6.657346564963544,480.0,37133.27065229416,done,,results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config001_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g1.2_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
2,9,6,415,50,700,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.001,1000,20,False,False,2.48015873015873e-07,0.0,0.7715384761731044,0.7687201473539194,0.4861928642256725,0.4935740876333628,0.7715384761731044,0.7715384761731044,0.7687201473539194,0.0,0.7687201473539194,0.7687201473539194,0.4861928642256725,0.4861928642256725,0.4935740876333628,0.0,0.4935740876333628,0.4935740876333628,480.0,26851.499430418015,done,,results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config002_C9_M6_mouse415_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
3,9,6,415,50,700,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,1.2,1.0,0.1,0.001,1000,20,False,False,2.48015873015873e-07,0.0,0.7681872534764087,0.7353724310009735,0.48504413601580293,0.5747171406384127,0.7681872534764087,0.7350768932522769,0.7353724310009735,0.0,0.7353724310009735,0.7353724310009735,0.48504413601580293,0.5753070321019309,0.5747171406384127,0.0,0.5747171406384127,0.5747171406384127,480.0,24164.39930820465,done,,results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config003_C9_M6_mouse415_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g1.2_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,4,5,0.25
