cohort,month,mouse,rank,region_idx,min_abs_F0,min_F0,max_F0,max_abs_dff,time_idx_min_abs_F0,time_sec_min_abs_F0,raw_at_min_abs_F0,F0_at_min_abs_F0,dff_at_min_abs_F0
3,6,316,1,255,0.0002302496868651,-0.1826277673244476,0.2231135219335556,9201.767802519127,1389,115.75,0.6645674705505371,0.0002302496868651,2885.165136408688
3,6,316,2,281,0.1921897245501385,0.1921897245501385,0.3375619278576608,17.494639265082405,4682,390.1666666666667,0.042752181252717,0.1921897245501385,-0.7775521603545176
3,6,316,3,198,0.1966743425057712,0.1966743425057712,0.3074377397319577,14.985495210837458,4398,366.5,-0.066059489744013,0.1966743425057712,-1.3358825332452773
3,6,316,4,190,0.2059202855220064,0.2059202855220064,0.3210310549578733,13.710171554293352,4044,337.0,1.4021877033842935,0.2059202855220064,5.809371120169375
3,6,316,5,187,0.2175639094209965,0.2175639094209965,0.3298664726201951,14.05420520641442,4044,337.0,1.4904943370708712,0.2175639094209965,5.8508342331648
3,6,316,6,3,0.2189203847009704,0.2189203847009704,0.3803791587872963,14.964036758282685,3885,323.75,0.0052580697523368,0.2189203847009704,-0.9759817729201564
3,6,316,7,168,0.2191484220007934,0.2191484220007934,0.358558781130563,14.71989463403252,2274,189.5,1.3511074805041638,0.2191484220007934,5.165261955875057
3,6,316,8,314,0.2232317515307023,0.2232317515307023,0.3505504297127924,13.262081199112655,3315,276.25,0.9368207036883016,0.2232317515307023,3.1966282363428618
3,6,316,9,291,0.2238655534600562,0.2238655534600562,0.3666767520843866,15.62174401296846,4963,413.5833333333333,0.7340126911012252,0.2238655534600562,2.278810236627544
3,6,316,10,209,0.2250207684783622,0.2250207684783622,0.3449113658826911,12.230644552548966,4398,366.5,0.0502194837971903,0.2250207684783622,-0.7768228599297137
3,6,322,1,132,0.1051821614626448,0.1051821614626448,0.2082126739781436,22.744944509258595,3650,304.1666666666667,1.4948604314826257,0.1051821614626448,13.212108579765545
3,6,322,2,123,0.1059700182806222,0.1059700182806222,0.2276613719534511,19.534412834284044,5437,453.0833333333333,0.2136016638758472,0.1059700182806222,1.0156800686152745
3,6,322,3,125,0.1065891952592141,0.1065891952592141,0.1882365516020108,29.1307283165837,3446,287.1666666666667,1.707083840977471,0.1065891952592141,15.015541600352645
3,6,322,4,155,0.1070562655798239,0.1070562655798239,0.2118678711049786,34.036328048774074,3841,320.0833333333333,0.6926906843694438,0.1070562655798239,5.47034179563771
3,6,322,5,136,0.111151420462,0.111151420462,0.2318866901318816,18.28445679013368,5437,453.0833333333333,0.3437207011177259,0.111151420462,2.0923642609821
3,6,322,6,141,0.1137125185072923,0.1137125185072923,0.2092118155515681,27.130888001225944,2323,193.5833333333333,1.2293747417055645,0.1137125185072923,9.811251564305204
3,6,322,7,135,0.113871619105339,0.113871619105339,0.2268684070854111,16.599734758638085,5437,453.0833333333333,0.0919258498187576,0.113871619105339,-0.1927237667450959
3,6,322,8,145,0.1139009277289733,0.1139009277289733,0.2227224605012452,17.251750808578823,2186,182.16666666666663,0.6278806224372238,0.1139009277289733,4.51251504119538
3,6,322,9,109,0.1139772619245593,0.1139772619245593,0.2299418870129229,20.02491819642473,5437,453.0833333333333,0.1029340236918213,0.1139772619245593,-0.0968898276495633
3,6,322,10,164,0.1146553040123354,0.1146553040123354,0.2239428533820853,29.64542039823229,3779,314.9166666666667,1.6014675346336191,0.1146553040123354,12.967669605451707
9,6,415,1,56,8.288545794705423e-07,-0.1204863528155873,0.4010434362113985,231314.2464265735,294,24.5,0.1894119011285977,-8.288545794705423e-07,-231314.2464265735
9,6,415,2,66,1.864153891801834e-06,-0.1379466565325856,0.372193631529808,374528.95229674014,358,29.83333333333333,0.1855191871523857,1.864153891801834e-06,98987.24102113908
9,6,415,3,71,6.146540809392096e-05,-0.149943130085931,0.289470098991143,12220.863015914689,4523,376.9166666666667,0.7436544644205194,-6.146540809392096e-05,-12101.716559948776
9,6,415,4,74,0.000107062700848,-0.0111984425297283,0.2837974245526961,8142.489649680627,4523,376.9166666666667,0.7430699657607864,0.000107062700848,6938.863941747503
9,6,415,5,58,0.0001464887309127,-0.0047171548561214,0.3946200713168743,2638.5059024562065,45,3.75,0.0647538376777151,-0.0001464887309127,-443.06996656924406
9,6,415,6,55,0.0001491834522716,-0.172598839427034,0.3620156091120508,3920.028663996819,0,0.0,0.2352051362395286,0.0001491834522716,1575.5111850302271
9,6,415,7,69,0.0001503993536492,-0.1025589347104725,0.3826541498107345,19020.920759753477,2319,193.25,1.9089539176539367,0.0001503993536492,12690.723495503416
9,6,415,8,72,0.0001520112333687,-0.1218606683443177,0.3647029225556356,13311.986142378822,42,3.5,0.0507791161313125,0.0001520112333687,333.0265369913228
9,6,415,9,49,0.0001858565621089,-0.0047478785069478,0.3780215449777304,957.270183682391,294,24.5,0.1781103746125511,0.0001858565621089,957.270183682391
9,6,415,10,61,0.0002352577738682,-0.1243868967451687,0.4024109209754637,1624.49001709583,45,3.75,0.0616807415665659,-0.0002352577738682,-263.1948363307594
9,6,410,1,344,0.13305712142557075,0.13305712142557075,0.2632807052007528,43.105179861732545,2255,187.91666666666666,-0.14196856695255547,0.13305712142557075,-2.066974429942296
9,6,410,2,327,0.1338952409957225,0.1338952409957225,0.2397886162572023,39.022656399023646,311,25.916666666666668,1.125641466014915,0.1338952409957225,7.406881257131931
9,6,410,3,191,0.14688093235639677,0.14688093235639677,0.2723128619310382,32.76449596065178,118,9.833333333333334,1.154705770619928,0.14688093235639677,6.861508525851583
9,6,410,4,172,0.14928595682736054,0.14928595682736054,0.2648874210453657,32.24252208118531,12,1.0,1.147824196621429,0.14928595682736054,6.68876158298799
9,6,410,5,203,0.15201820742368,0.15201820742368,0.25582020335423294,30.040607090562396,2254,187.83333333333334,-0.0200895595868739,0.15201820742368,-1.1321522507456039
9,6,410,6,376,0.15457499229068153,0.15457499229068153,0.2926800416387392,44.139821338631975,2255,187.91666666666666,0.029541308500079647,0.15457499229068153,-0.8088868312320864
9,6,410,7,245,0.1571687435042923,0.1571687435042923,0.2902870402043766,33.04691598046451,0,0.0,-0.12274362706407176,0.1571687435042923,-1.780967045467594
9,6,410,8,258,0.15989992762538227,0.15989992762538227,0.33060353058012754,11.727775417885333,119,9.916666666666666,1.3959443404754572,0.15989992762538227,7.730111913776427
9,6,410,9,265,0.15999378523919036,0.15999378523919036,0.28951398148038016,32.93914011802694,2253,187.75,0.1925236480637339,0.15999378523919036,0.20331952733486613
9,6,410,10,206,0.16208596486649185,0.16208596486649185,0.2822077855526004,21.726361330773056,337,28.083333333333332,1.4381178484181874,0.16208596486649185,7.872561982014463
