cohort,month,mouse,pVar_CURBD_reference,n_pixels,n_subregions,fs,window_sec,window_frames,percentile,eps,raw_min,raw_max,raw_median,F0_min,F0_max,F0_median,global_min_abs_F0,median_region_min_abs_F0,dff_min,dff_max,dff_max_abs,fraction_F0_negative,fraction_F0_positive,fraction_F0_exact_zero,n_regions,n_timepoints,fraction_abs_F0_lt_1em01,n_regions_abs_F0_lt_1em01,fraction_abs_F0_lt_1em02,n_regions_abs_F0_lt_1em02,fraction_abs_F0_lt_1em03,n_regions_abs_F0_lt_1em03,fraction_abs_F0_lt_1em04,n_regions_abs_F0_lt_1em04,fraction_abs_F0_lt_1em05,n_regions_abs_F0_lt_1em05,fraction_abs_F0_lt_1em06,n_regions_abs_F0_lt_1em06
3,6,316,0.234,100,319,12.0,60.0,720,8.0,1e-08,-1.3477919101715088,7.2795291511636036,0.9472125538614752,-0.1826277673244476,1.108840873284686,0.3645488585002328,0.0002302496868651,0.3082840775984906,-2393.460321700712,9201.767802519127,9201.767802519127,0.001734478404737,0.9982655215952628,0.0,319,5760,0.002687434691745,1,0.0002612330198537,1,3.80964820619993e-05,1,0.0,0,0.0,0,0.0,0
3,6,322,0.442,100,322,12.0,60.0,720,8.0,1e-08,-2.1254313194417747,9.77196317522422,0.9970462500263084,0.1051821614626448,0.7873325205490559,0.2401792886096154,0.1051821614626448,0.1813766692533208,-7.89170780801415,34.036328048774074,34.036328048774074,0.0,1.0,0.0,322,5760,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,6,415,0.052,100,352,12.0,60.0,720,8.0,1e-08,-37.2643442591396,99.2775003851914,0.8180109265581197,-0.172598839427034,0.7432410608031856,0.2607063753778075,8.288545794705423e-07,0.202194959233446,-231314.2464265735,374528.95229674014,374528.95229674014,0.0029178503787878,0.997082149621212,0.0,352,5760,0.1090578637941919,95,0.0063540680239898,27,0.000588896780303,15,1.035748106060606e-05,3,8.877840909090909e-06,2,1.4796401515151515e-06,1
9,6,410,0.397,100,384,12.0,60.0,720,8.0,1e-08,-2.342680103793416,12.638306487454187,0.9167504862666751,0.13305712142557075,0.8947110545778668,0.3131734024732717,0.13305712142557075,0.24712484437992777,-7.658305582053276,44.139821338631975,44.139821338631975,0.0,1.0,0.0,384,5760,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
