i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction
0,9,6,410,25,1524,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,300,20,False,False,2.2783610382035578e-07,0.0,0.9247240801926003,0.9247240801926003,0.8993573144777125,0.8993573144777125,0.9246168642404066,0.9246168642404066,0.9247240801926002,1.1102230246251565e-16,0.9247240801926003,0.9247240801926003,0.9009187524322546,0.9009187524322546,0.8993573144777123,2.220446049250313e-16,0.8993573144777125,0.8993573144777125,480.0,68388.52970433235,done,,results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config000_C9_M6_mouse410_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,4,5,0.25
1,9,6,410,35,1089,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,300,20,False,False,1.5942250790735638e-07,0.0,0.8828274526163951,0.8828274526163951,1.529042675186371,1.529042675186371,0.882598986345931,0.882598986345931,0.8828274526163952,1.1102230246251565e-16,0.8828274526163951,0.8828274526163951,1.5318907716320833,1.5318907716320833,1.529042675186371,0.0,1.529042675186371,1.529042675186371,480.0,34996.36845636368,done,,results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config001_C9_M6_mouse410_n_pixels35_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,4,5,0.25
2,9,6,415,25,1399,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,300,20,False,False,1.2409657692002223e-07,0.0,0.9000069697377271,0.9000069697377271,0.15503091691196202,0.15503091691196202,0.8999195048034111,0.8999195048034111,0.9000069697377272,1.1102230246251565e-16,0.9000069697377271,0.9000069697377271,0.15518971913412885,0.15518971913412885,0.155030916911962,2.7755575615628914e-17,0.15503091691196202,0.15503091691196202,480.0,82766.63753008842,done,,results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config002_C9_M6_mouse415_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,4,5,0.25
3,9,6,415,35,1001,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,300,20,False,False,1.7343767343767344e-07,0.0,0.8665386176593118,0.8665386176593118,0.23314964246907657,0.23314964246907657,0.8664285878674262,0.8664285878674262,0.8665386176593118,0.0,0.8665386176593118,0.8665386176593118,0.23335784547686542,0.23335784547686542,0.23314964246907652,5.551115123125783e-17,0.23314964246907657,0.23314964246907657,480.0,24921.07655286789,done,,results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config003_C9_M6_mouse415_n_pixels35_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,4,5,0.25
