target,source,mean,std,rms,max_abs
0,0,173.08172011774118,278.3023476436106,327.73385321455754,501.8221130371094
0,1,-255.37092239803792,303.7371759968922,396.8256293247599,619.0169067382812
0,2,83.84246605595033,109.00142270097676,137.51679630205248,254.84158325195312
0,3,254.77396223891404,257.02391403340397,361.8992459510882,561.5574340820312
0,4,25.304619241397845,76.35237748098332,80.43636803057862,120.8292007446289
0,5,579.7741153258023,581.2518751098196,820.9700159692179,1265.847412109375
1,0,182.87712309969427,257.05229592835434,315.4677875715031,490.7066345214844
1,1,-244.26123276861338,267.24911824777536,362.05751067731785,567.6998291015625
1,2,58.21998520451442,73.07508353944348,93.4319779920693,192.73883056640625
1,3,216.03392308782708,220.94666043394184,309.01146043735787,476.0801696777344
1,4,72.1761421583897,110.5040841804897,131.9869240396064,207.53811645507812
1,5,437.45559748941315,443.05301542726016,622.6261914295025,961.2261962890625
2,0,153.23744625866422,233.4585780132363,279.2572695272933,431.8984680175781
2,1,-387.87617539263636,417.0619002018317,569.5511882501711,890.2824096679688
2,2,119.89698036152474,130.8903841381725,177.50374238209798,300.91961669921875
2,3,273.63422023277315,281.9592808560607,392.90803318749374,605.6122436523438
2,4,130.1804721369043,174.2437538449422,217.50365762387565,341.8235778808594
2,5,496.1975781431064,504.91935454824954,707.9234359395831,1094.273193359375
3,0,16.044121393538187,31.374069635245032,35.238417625764555,56.05408477783203
3,1,-157.08070212391672,167.2696532389548,229.46346958595137,354.1519775390625
3,2,62.173978851969544,60.24541586616023,86.57432517306586,142.0659942626953
3,3,38.93196678359843,43.9186672020006,58.69026636878806,105.81719970703125
3,4,52.78484930576793,59.534543416540224,79.56508138655136,124.12236022949219
3,5,106.06156389152956,107.95119226337214,151.33576988339718,234.1566619873047
4,0,14.097881771876343,40.91082196376098,43.27176474566702,95.03978729248047
4,1,-278.951066379603,297.9867109077677,408.1786095717746,630.0562133789062
4,2,94.85528943755544,88.89779087242908,130.00131982514853,220.0009002685547
4,3,97.23807458910589,103.52922360349677,142.03359915787303,236.12542724609375
4,4,77.76931481545866,89.99577322147245,118.94244626959971,185.97238159179688
4,5,174.8260870773479,179.3418925714285,250.4549363735485,387.8672180175781
5,0,107.47986644295078,179.65311728787785,209.34938318955352,328.9712219238281
5,1,-567.7305234220561,617.7332216314223,838.994803519198,1296.1585693359375
5,2,201.09779234066966,199.49644594750504,283.26516557807963,462.032958984375
5,3,205.36407265033543,220.81165564592646,301.54964699801496,473.9416198730469
5,4,173.3171555751585,210.10004541730916,272.36164469509845,426.44091796875
5,5,430.69364965412444,439.1048695654206,615.0691882450744,951.0126953125
