n_pixels,lissage_sigma,use_global_regression,pVar_median,pVar_mean,pVar_min,pVar_max,gsr_label,label
50,4,True,0.7119397585869911,0.7162802879076064,0.6453598499364138,0.7790670713640866,GSR ON,"pix=50, s=4, GSR ON"
50,4,False,0.7076955554324659,0.7056294589530065,0.5715799242785649,0.8014060731695305,GSR OFF,"pix=50, s=4, GSR OFF"
75,4,True,0.5782006821412616,0.5810169560822307,0.5047866845810551,0.6800148197816587,GSR ON,"pix=75, s=4, GSR ON"
50,2,False,0.5724970527832435,0.5706299262557459,0.4294571044887972,0.6884015258489735,GSR OFF,"pix=50, s=2, GSR OFF"
50,2,True,0.5431750839717173,-2.1983228146941998,-35.09764997707117,0.6143149871426133,GSR ON,"pix=50, s=2, GSR ON"
75,4,False,0.5418670147001768,0.5630837360199707,0.4393327811956362,0.7074080858941385,GSR OFF,"pix=75, s=4, GSR OFF"
100,4,True,0.4785929299432631,0.4938653722548127,0.4234562943243953,0.6323297063386171,GSR ON,"pix=100, s=4, GSR ON"
100,4,False,0.4671837691897079,0.47124878808276416,0.2934891169761051,0.6410684684170331,GSR OFF,"pix=100, s=4, GSR OFF"
75,2,True,0.4158107040131013,0.4237980689981703,0.3505224598691034,0.5264605275133157,GSR ON,"pix=75, s=2, GSR ON"
75,2,False,0.3768012249308922,-7.52589702524927,-102.88015884642644,0.6082090288948729,GSR OFF,"pix=75, s=2, GSR OFF"
100,2,False,0.356901835429011,0.35867912107932987,0.2503170284506757,0.4886810736679019,GSR OFF,"pix=100, s=2, GSR OFF"
100,2,True,0.3565582144175335,0.3657429399443725,0.3048813799485932,0.4443326536739982,GSR ON,"pix=100, s=2, GSR ON"
150,4,True,0.3550067632105159,0.3663544706547119,0.3021784192678129,0.4874411648415162,GSR ON,"pix=150, s=4, GSR ON"
150,4,False,0.3516295206138818,0.33502981484603417,0.1570175784560066,0.540536693220032,GSR OFF,"pix=150, s=4, GSR OFF"
200,4,True,0.2832831968907081,0.30272514544147927,0.2358160203810044,0.4484736355434318,GSR ON,"pix=200, s=4, GSR ON"
150,2,True,0.2629152313982559,0.27042379184630344,0.2186809548317736,0.3664087124065878,GSR ON,"pix=150, s=2, GSR ON"
200,4,False,0.2303987114327016,0.22653836079418627,0.0018214142934109,0.4333604721615913,GSR OFF,"pix=200, s=4, GSR OFF"
150,2,False,0.2282827966025858,0.22118936243506487,-0.0276890716141493,0.4266973146117555,GSR OFF,"pix=150, s=2, GSR OFF"
200,2,True,0.201509823195532,0.21472676747673425,0.1647396000064722,0.2941535273525529,GSR ON,"pix=200, s=2, GSR ON"
200,2,False,0.1559675942121834,0.1453149997951546,-0.1674668554324794,0.3544523807923008,GSR OFF,"pix=200, s=2, GSR OFF"
