mouse,GSR OFF,GSR ON,delta_on_minus_off
316,0.6594481127999566,0.682720058899388,0.023271946099431395
322,0.6410941286531162,0.7519558384667899,0.11086170981367371
353,0.6774453817765183,0.7355358874681434,0.058090505691625105
361,0.6601215599436497,0.7119397585869911,0.05181819864334136
365,0.7282987248921359,0.7095510647414277,-0.018747660150708167
367,0.7527749400558963,0.6957805160177685,-0.05699442403812782
374,0.704295618927826,0.6965092582161119,-0.007786360711714124
387,0.5715799242785649,0.6453598499364138,0.07377992565784897
396,0.7118686375066852,0.7048362875115166,-0.007032349995168552
397,0.7076955554324659,0.7507974152939948,0.043101859861528924
409,0.7743859349463125,0.7195106210234807,-0.05487531392283174
410,0.7827683740064264,0.7280801152727705,-0.0546882587336559
415,0.8014060731695305,0.7790670713640866,-0.022339001805443903
