mouse,n_pixels,n_subregions,runtime_hours,runtime_label,pVar_finale,chi2_final
415,25,1399,5.912189989089967,05h54,0.8800225647795209,0.1970942972901412
410,25,1524,6.793129618896377,06h47,0.8967334776894984,1.2281589129162482
415,20,1749,10.685028878251712,10h41,0.8992190883993031,0.1515057510975293
410,20,1903,11.765220779577891,11h45,0.9169915573878644,0.953146064693595
367,15,2108,15.04462344997459,15h02,0.9374239627743036,0.7256585106804073
322,15,2134,15.562147381371922,15h33,0.8746058045829288,0.4510957138509853
415,15,2331,20.235323884222243,20h14,0.918058001275022,0.114588872014714
409,15,2348,20.00801737672753,20h00,0.9206887749755536,1.8876624202181
410,15,2538,22.84101863357756,22h50,0.9458816984609202,0.4606178545661541
