i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_dff,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,dff_window_sec,dff_percentile,atlas_clean_size,atlas_clean_min_fraction
0,9,6,415,100,352,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,1000,50,False,False,False,4.932133838383838e-07,0.0,0.465955152174222,0.4531184892684882,0.8433312963566657,0.8608712527857961,0.465955152174222,0.4530299283213851,0.4531184892684882,0.0,0.4531184892684882,0.4531184892684882,0.8433312963566657,0.8610135720379768,0.8608712527857962,1.1102230246251565e-16,0.8608712527857961,0.8608712527857961,480.0,5467.798530101776,done,,results/CURBD_DFF_OFF_1000runs_415_410/run_du_2026-08-20_06h40/config000_C9_M6_mouse415_n_pixels100_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_dffFalse_use_global_regressionFalse.pkl,2,60,8,5,0.25
1,9,6,410,100,384,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,1000,50,False,False,False,4.5211226851851854e-07,0.0,0.5308445169072358,0.5042171005966891,8.292566775088051,8.947744637635623,0.5308445169072358,0.5041344132416,0.5042171005966891,0.0,0.5042171005966891,0.5042171005966891,8.292566775088051,8.949105625039635,8.947744637635624,1.7763568394002505e-15,8.947744637635623,8.947744637635623,480.0,8852.081096172333,done,,results/CURBD_DFF_OFF_1000runs_415_410/run_du_2026-08-20_06h40/config001_C9_M6_mouse410_n_pixels100_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_dffFalse_use_global_regressionFalse.pkl,2,60,8,5,0.25
