run,pix50_N764_train1000_pVar-110.161,pix50_N764_train1000_pVar0.558,pix50_N764_train1000_pVar0.594,pix50_N764_train1000_pVar0.759,pix50_N764_train1000_pVar0.785,pix50_N764_train1000_pVar0.828,pix35_N1089_train300_pVar0.883,pix25_N1524_train100_pVar0.897,pix20_N1903_train100_pVar0.917,pix25_N1524_train300_pVar0.925,pix25_N1524_train1000_pVar0.932,pix15_N2538_train100_pVar0.946
pix50_N764_train1000_pVar-110.161,1.0,0.03479514380386878,0.009273831350879301,-0.00374441487613548,0.0480472167001962,0.05573319991987753,-0.015061374002540326,-0.032471170439661245,-0.0005288725139395317,0.019574282733936445,-0.030342418690339004,-0.007520620521648836
pix50_N764_train1000_pVar0.558,0.03479514380386878,1.0,0.32327628827264715,0.01420857286763659,0.49278796527826757,0.388023567176874,0.09976242037643383,0.006741476284889601,0.4464567994473113,0.364774953858398,0.21840703347838458,0.3148131415670805
pix50_N764_train1000_pVar0.594,0.009273831350879301,0.32327628827264715,1.0,-0.016397572309255287,0.557412672348308,0.3935795399513477,-0.15864574685220356,0.20693393097445953,0.5337246981503376,0.6149079725331058,0.252525661579248,0.42080972589105087
pix50_N764_train1000_pVar0.759,-0.00374441487613548,0.01420857286763659,-0.016397572309255287,1.0,0.024502137292185717,0.051010374098075545,-0.04611263871460991,-0.013788986237779745,-0.040619786510979305,0.013270883730930334,-0.03525307755787648,-0.012339064445876406
pix50_N764_train1000_pVar0.785,0.0480472167001962,0.49278796527826757,0.557412672348308,0.024502137292185717,1.0,0.5655914111838094,-0.041037325860323035,-0.06859377111628238,0.45638287833013647,0.606305396738059,0.3243933952916888,0.345540038974729
pix50_N764_train1000_pVar0.828,0.05573319991987753,0.388023567176874,0.3935795399513477,0.051010374098075545,0.5655914111838094,1.0,-0.22466290414809506,0.22794871381134685,0.09903096438484378,0.6355148610883861,-0.03409103507942624,-0.00048362608554159634
pix35_N1089_train300_pVar0.883,-0.015061374002540326,0.09976242037643383,-0.15864574685220356,-0.04611263871460991,-0.041037325860323035,-0.22466290414809506,1.0,-0.19156156946872865,0.15428420684699273,-0.2095780861249681,0.3604495714858642,0.07902682442501048
pix25_N1524_train100_pVar0.897,-0.032471170439661245,0.006741476284889601,0.20693393097445953,-0.013788986237779745,-0.06859377111628238,0.22794871381134685,-0.19156156946872865,1.0,-0.038738678250819454,0.5139248477250401,-0.10729148805048078,0.04711567173732388
pix20_N1903_train100_pVar0.917,-0.0005288725139395317,0.4464567994473113,0.5337246981503376,-0.040619786510979305,0.45638287833013647,0.09903096438484378,0.15428420684699273,-0.038738678250819454,1.0,0.3094017677164568,0.4665012818942678,0.6791638837783794
pix25_N1524_train300_pVar0.925,0.019574282733936445,0.364774953858398,0.6149079725331058,0.013270883730930334,0.606305396738059,0.6355148610883861,-0.2095780861249681,0.5139248477250401,0.3094017677164568,1.0,0.09742435229153369,0.25039104247031024
pix25_N1524_train1000_pVar0.932,-0.030342418690339004,0.21840703347838458,0.252525661579248,-0.03525307755787648,0.3243933952916888,-0.03409103507942624,0.3604495714858642,-0.10729148805048078,0.4665012818942678,0.09742435229153369,1.0,0.42773337394119254
pix15_N2538_train100_pVar0.946,-0.007520620521648836,0.3148131415670805,0.42080972589105087,-0.012339064445876406,0.345540038974729,-0.00048362608554159634,0.07902682442501048,0.04711567173732388,0.6791638837783794,0.25039104247031024,0.42773337394119254,1.0
