run,pix50 N764 train1000 p0.828,pix35 N1089 train300 p0.883,pix25 N1524 train100 p0.897,pix20 N1903 train100 p0.917,pix25 N1524 train300 p0.925,pix25 N1524 train1000 p0.932,pix15 N2538 train100 p0.946
pix50 N764 train1000 p0.828,1.0,-0.22466290414809498,0.22794871381134682,0.09903096438484378,0.635514861088386,-0.03409103507942623,-0.0004836260855415741
pix35 N1089 train300 p0.883,-0.22466290414809498,1.0,-0.19156156946872865,0.15428420684699273,-0.209578086124968,0.360449571485864,0.0790268244250105
pix25 N1524 train100 p0.897,0.22794871381134682,-0.19156156946872865,1.0,-0.03873867825081943,0.5139248477250399,-0.10729148805048075,0.04711567173732387
pix20 N1903 train100 p0.917,0.09903096438484378,0.15428420684699273,-0.03873867825081943,1.0,0.30940176771645683,0.46650128189426776,0.6791638837783792
pix25 N1524 train300 p0.925,0.635514861088386,-0.209578086124968,0.5139248477250399,0.30940176771645683,1.0,0.09742435229153364,0.25039104247031013
pix25 N1524 train1000 p0.932,-0.03409103507942623,0.360449571485864,-0.10729148805048075,0.46650128189426776,0.09742435229153364,1.0,0.4277333739411923
pix15 N2538 train100 p0.946,-0.0004836260855415741,0.0790268244250105,0.04711567173732387,0.6791638837783792,0.25039104247031013,0.4277333739411923,1.0
