i_config,Idx_souris,souris,n_pixels,n_regions,pVar_max,pVar_finale,chi2_min,chi2_final,runtime_sec,status,error,save_path
0,0,M387-6,40,6,0.8412942289344711,0.8412942289344711,0.40581593315537845,0.40581593315537845,4876.613755941391,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config0_M387-6_pix40_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
1,0,M387-6,40,6,0.9096485541341701,0.9091035902171049,0.24645734921672602,0.24645734921672602,4886.7485501766205,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config1_M387-6_pix40_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
2,0,M387-6,45,6,0.8185371107477558,0.8185371107477558,0.5146326379042011,0.5146326379042011,3036.1813247203827,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config2_M387-6_pix45_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
3,0,M387-6,45,6,0.8896659019447809,0.8896659019447809,0.3159744981117955,0.3159744981117955,3061.3003101348877,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config3_M387-6_pix45_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
4,0,M387-6,50,6,0.7968945944206962,0.7968945944206962,0.6327880383041321,0.6327880383041321,2498.712511062622,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config4_M387-6_pix50_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
5,0,M387-6,50,6,0.8840253797037217,0.8797904381893044,0.38994727834168447,0.38994727834168447,2494.3090209960938,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config5_M387-6_pix50_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
6,1,M396-6,40,6,0.8589546204755711,0.8589546204755711,0.42299103718946107,0.42299103718946107,5845.876009941101,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config6_M396-6_pix40_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
7,1,M396-6,40,6,0.916020424319199,0.916020424319199,0.21787666174053152,0.21787666174053152,5785.091521024704,done,,"Petits petiits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-26_23h53/config7_M396-6_pix40_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
